title,authors,language,publisher,combined_features
douglas adamss starship titanic,terry jones,en,ballantine books,douglas adamss starship titanic terry jones ballantine books en
salmon doubt hitchhiking galaxy one last time,douglas adams,en,turtleback books,salmon doubt hitchhiking galaxy one last time douglas adams turtleback books en
phantom tollbooth childrens play two acts,susan nanus,en,samuel french,phantom tollbooth childrens play two acts susan nanus samuel french en
bullshit,harry g. frankfurt,en,princeton university press,bullshit harry g. frankfurt princeton university press en
another bullshit night suck city,nick flynn,en,w. w. norton &,another bullshit night suck city nick flynn w. w. norton & en
lincoln gettysburg words remade america,garry wills,en,simon & schuster,lincoln gettysburg words remade america garry wills simon & schuster en
gettysburg address,abraham lincoln,en,hmh books for young readers,gettysburg address abraham lincoln hmh books for young readers en
underworld,don delillo,en,scribner,underworld don delillo scribner en
libra,don delillo,en,penguin,libra don delillo penguin en
americana,don delillo,en,penguin books,americana don delillo penguin books en
running dog,don delillo,en,vintage contemporaries,running dog don delillo vintage contemporaries en
cosmopolis,don delillo,en,scribner,cosmopolis don delillo scribner en
great jones street,don delillo,en,penguin books,great jones street don delillo penguin books en
names,don delillo,en,vintage,names don delillo vintage en
day,thomas pynchon,en,penguin press,day thomas pynchon penguin press en
v,thomas pynchon,en,harper perennial modern classics,v thomas pynchon harper perennial modern classics en
crying lot 49,thomas pynchon,en,harper perennial,crying lot 49 thomas pynchon harper perennial en
gravitys rainbow,thomas pynchon,en,penguin books,gravitys rainbow thomas pynchon penguin books en
mason dixon,thomas pynchon,en,picador usa,mason dixon thomas pynchon picador usa en
vineland,thomas pynchon,en,penguin classics,vineland thomas pynchon penguin classics en
slow learner early stories,thomas pynchon,en,back bay books,slow learner early stories thomas pynchon back bay books en
long looks like,richard fariña,en,penguin classics,long looks like richard fariña penguin classics en
year magical thinking,joan didion,en,knopf publishing group,year magical thinking joan didion knopf publishing group en
white album,joan didion,en,farrar straus giroux,white album joan didion farrar straus giroux en
book common prayer,joan didion,en,vintage international,book common prayer joan didion vintage international en
,joan didion,en,vintage, joan didion vintage en
slouching towards bethlehem,joan didion,en,farrar straus giroux,slouching towards bethlehem joan didion farrar straus giroux en
democracy,joan didion,en,vintage international,democracy joan didion vintage international en
tell stories order live collected nonfiction,joan didion,en,everyman's library,tell stories order live collected nonfiction joan didion everyman's library en
play lays,joan didion,en,farrar straus and giroux,play lays joan didion farrar straus and giroux en
new york trilogy,paul auster,en,penguin classics,new york trilogy paul auster penguin classics en
city glass,paul auster,en,penguin books,city glass paul auster penguin books en
ghosts,paul auster,en,penguin books,ghosts paul auster penguin books en
locked room,paul auster,en,sun and moon press,locked room paul auster sun and moon press en
pyramids montauk explorations consciousness,peter moon,en,sky books,pyramids montauk explorations consciousness peter moon sky books en
brooklyn follies,paul auster,en,picador,brooklyn follies paul auster picador en
moon palace,paul auster,en,penguin books,moon palace paul auster penguin books en
music chance,paul auster,en,penguin books,music chance paul auster penguin books en
travels scriptorium,paul auster,en,henry holt &,travels scriptorium paul auster henry holt & en
leviathan,paul auster,en,penguin books,leviathan paul auster penguin books en
red notebook true stories,paul auster,en,new directions,red notebook true stories paul auster new directions en
timbuktu leviathan moon palace,paul auster,fr,actes sud,timbuktu leviathan moon palace paul auster actes sud fr
